iter	Logloss
0	0.686378371
1	0.6804330651
2	0.6748750037
3	0.670035217
4	0.665694778
5	0.6617397091
6	0.6581969717
7	0.6550148395
8	0.6520905549
9	0.6493335881
10	0.646970253
11	0.6443602718
12	0.6420847037
13	0.6398837248
14	0.6379602897
15	0.6362370605
16	0.6344892554
17	0.6328863436
18	0.6316119133
19	0.6302758936
20	0.628921971
21	0.6278171452
22	0.6266228207
23	0.6253893932
24	0.6241127547
25	0.6232614154
26	0.6221893804
27	0.6213926548
28	0.620583866
29	0.6197595317
30	0.618835361
31	0.6181127876
32	0.6174700523
33	0.6168528916
34	0.6159512779
35	0.6153617484
36	0.6146955715
37	0.6138415484
38	0.6133244463
39	0.6127183875
40	0.6122577777
41	0.611808055
42	0.6113579197
43	0.6108090133
44	0.6104066668
45	0.6100624274
46	0.609710565
47	0.6092489272
48	0.6089328035
49	0.6085250743
50	0.6081813409
51	0.6077126386
52	0.6075107643
53	0.6072146033
54	0.6069595908
55	0.6066750482
56	0.6060979984
57	0.6058258998
58	0.6055411525
59	0.6051109333
60	0.6047456996
61	0.6044068243
62	0.6040623529
63	0.6037536591
64	0.6034915978
65	0.6031628896
66	0.602938183
67	0.6027294831
68	0.6025178596
69	0.6022914991
70	0.6020839655
71	0.6018747484
72	0.6017093868
73	0.6013402442
74	0.6011847702
75	0.6010501857
76	0.6008454574
77	0.6006968743
78	0.6003847343
79	0.6002308875
80	0.5997423188
81	0.5995716517
82	0.5993536836
83	0.5992080985
84	0.5990181726
85	0.5989175704
86	0.5987865617
87	0.5986853089
88	0.5985426708
89	0.5984106541
90	0.5982751974
91	0.5980087469
92	0.5978803154
93	0.5977822715
94	0.5976410003
95	0.5975196843
96	0.5973406183
97	0.5972082988
98	0.5971229517
99	0.5969375003
100	0.5967911562
101	0.5966097466
102	0.5965272453
103	0.5963885496
104	0.5962242965
105	0.5961290479
106	0.5960003036
107	0.5959116384
108	0.5957788433
109	0.5956783048
110	0.5955854045
111	0.5955151691
112	0.5953395665
113	0.5952557601
114	0.5951797371
115	0.5950600724
116	0.594833899
117	0.5947503916
118	0.5946727507
119	0.5946032923
120	0.5945339528
121	0.5943888767
122	0.5942803749
123	0.5942112536
124	0.5940699772
125	0.5938640963
126	0.5937818132
127	0.5936724445
128	0.5936022576
129	0.5935041041
130	0.5933769601
131	0.5933250034
132	0.5930882672
133	0.5930224478
134	0.5928164563
135	0.5927504163
136	0.5926583445
137	0.592602435
138	0.5925390381
139	0.5924769494
140	0.5923826446
141	0.5923353224
142	0.592250194
143	0.5921971516
144	0.592125635
145	0.5920066192
146	0.5919391099
147	0.5918636992
148	0.5916749603
149	0.5915389858
150	0.5914985805
151	0.5914473941
152	0.5913002631
153	0.5911986997
154	0.5911540393
155	0.5910730278
156	0.5910162587
157	0.5909715233
158	0.5908835107
159	0.5907512268
160	0.5907011018
161	0.5906390723
162	0.5905193328
163	0.5904407391
164	0.590352267
165	0.5902637343
166	0.5900274743
167	0.5899347164
168	0.5898815912
169	0.5897592812
170	0.5897065362
171	0.5896107755
172	0.589566434
173	0.5894967126
174	0.5894242731
175	0.5893696044
176	0.5893237703
177	0.5892790354
178	0.5892064641
179	0.5891679267
180	0.589112802
181	0.5890663131
182	0.5890298734
183	0.5889312652
184	0.5888854273
185	0.5888594292
186	0.5887705981
187	0.5886818201
188	0.5886388851
189	0.588575888
190	0.5885541413
191	0.5885107826
192	0.5884752835
193	0.5883714615
194	0.5883333502
195	0.588304735
196	0.5881676958
197	0.5880985689
198	0.5880352357
199	0.588001232
200	0.5878625133
201	0.5877594662
202	0.587721353
203	0.5876801536
204	0.5875770074
205	0.5875258291
206	0.5874871445
207	0.5874085291
208	0.5872978201
209	0.5872089035
210	0.5871591861
211	0.587118664
212	0.5870747886
213	0.586977333
214	0.5869259183
215	0.5868934885
216	0.5868617185
217	0.5868318213
218	0.5867966397
219	0.5867525919
220	0.5867100506
221	0.5866577951
222	0.586624608
223	0.5865635162
224	0.5865238429
225	0.5863985781
226	0.5863426329
227	0.5862834725
228	0.5862544345
229	0.5861400739
230	0.5861071963
231	0.586076806
232	0.5860440339
233	0.5859482743
234	0.58589268
235	0.5858665289
236	0.5858214423
237	0.5857945256
238	0.5857399585
239	0.585686476
240	0.585653527
241	0.5856190911
242	0.5855883341
243	0.5855320206
244	0.5855027203
245	0.5854379781
246	0.5853823763
247	0.5853060458
248	0.5852791976
249	0.5852260247
250	0.5851599869
251	0.585123531
252	0.585070096
253	0.5850280916
254	0.5849829583
255	0.5849545067
256	0.584896379
257	0.5848694519
258	0.5848136574
259	0.5847665141
260	0.5847307686
261	0.5846919956
262	0.5846505534
263	0.584612495
264	0.5845808516
265	0.5845394197
266	0.5844971484
267	0.5844743222
268	0.5844311001
269	0.5844018076
270	0.5843700142
271	0.5843438161
272	0.5842895201
273	0.5842536471
274	0.584183203
275	0.5840439019
276	0.5839835335
277	0.5839100046
278	0.5838690733
279	0.5838358519
280	0.5837635058
281	0.5837086344
282	0.5836769343
283	0.5836268355
284	0.5836069704
285	0.5835763505
286	0.583412864
287	0.583334905
288	0.5832903751
289	0.583246245
290	0.5832131621
291	0.583181453
292	0.5831331432
293	0.5830176575
294	0.5829882584
295	0.5829422518
296	0.5828767768
297	0.5827865607
298	0.582754734
299	0.5826985773
