iter	Passed	Remaining
0	72	21810
1	83	12457
2	94	9321
3	104	7731
4	115	6791
5	126	6174
6	136	5694
7	146	5341
8	157	5096
9	168	4896
10	179	4711
11	189	4553
12	200	4419
13	210	4306
14	221	4210
15	231	4110
16	241	4026
17	253	3970
18	265	3921
19	276	3864
20	311	4134
21	322	4074
22	335	4035
23	346	3984
24	358	3948
25	371	3909
26	381	3861
27	391	3806
28	401	3756
29	411	3706
30	421	3660
31	432	3620
32	443	3585
33	454	3553
34	465	3526
35	476	3495
36	487	3464
37	498	3439
38	509	3412
39	519	3378
40	531	3355
41	541	3326
42	551	3294
43	560	3263
44	574	3253
45	586	3238
46	599	3226
47	611	3211
48	623	3195
49	634	3173
50	645	3152
51	656	3130
52	667	3111
53	679	3094
54	690	3075
55	702	3062
56	714	3046
57	725	3028
58	736	3008
59	747	2988
60	757	2969
61	769	2954
62	779	2932
63	789	2912
64	800	2892
65	811	2876
66	822	2859
67	833	2843
68	844	2827
69	856	2812
70	867	2798
71	877	2779
72	889	2765
73	899	2746
74	909	2729
75	920	2714
76	931	2698
77	942	2683
78	953	2667
79	965	2655
80	975	2638
81	986	2622
82	997	2606
83	1008	2592
84	1018	2574
85	1028	2559
86	1039	2545
87	1051	2532
88	1062	2518
89	1074	2507
90	1087	2497
91	1101	2491
92	1113	2479
93	1125	2466
94	1136	2452
95	1147	2438
96	1158	2425
97	1168	2409
98	1179	2395
99	1190	2380
100	1201	2368
101	1212	2354
102	1223	2340
103	1234	2325
104	1244	2310
105	1255	2297
106	1267	2286
107	1278	2272
108	1289	2260
109	1301	2247
110	1312	2234
111	1323	2221
112	1334	2208
113	1345	2195
114	1357	2183
115	1368	2171
116	1380	2158
117	1390	2145
118	1401	2131
119	1411	2117
120	1422	2104
121	1432	2090
122	1442	2075
123	1453	2062
124	1465	2051
125	1476	2038
126	1486	2024
127	1497	2012
128	1508	1999
129	1519	1986
130	1531	1975
131	1541	1961
132	1551	1947
133	1565	1939
134	1576	1927
135	1587	1914
136	1598	1902
137	1609	1889
138	1621	1877
139	1632	1865
140	1643	1853
141	1654	1841
142	1666	1829
143	1678	1817
144	1689	1806
145	1700	1793
146	1711	1781
147	1722	1768
148	1732	1755
149	1742	1742
150	1753	1730
151	1765	1719
152	1776	1706
153	1787	1694
154	1798	1682
155	1809	1670
156	1820	1657
157	1831	1645
158	1841	1633
159	1852	1621
160	1863	1609
161	1874	1597
162	1884	1584
163	1896	1572
164	1907	1560
165	1917	1548
166	1929	1536
167	1940	1524
168	1951	1512
169	1962	1500
170	1973	1489
171	1985	1477
172	1996	1465
173	2007	1453
174	2018	1442
175	2029	1429
176	2040	1417
177	2051	1405
178	2063	1394
179	2074	1382
180	2085	1371
181	2096	1359
182	2107	1347
183	2118	1335
184	2128	1323
185	2139	1311
186	2149	1299
187	2161	1287
188	2173	1276
189	2184	1264
190	2196	1253
191	2207	1241
192	2218	1230
193	2230	1218
194	2241	1206
195	2253	1195
196	2264	1184
197	2275	1172
198	2285	1160
199	2296	1148
200	2307	1136
201	2318	1124
202	2329	1113
203	2339	1100
204	2350	1089
205	2361	1077
206	2373	1066
207	2384	1054
208	2396	1043
209	2406	1031
210	2417	1019
211	2427	1007
212	2438	996
213	2450	984
214	2462	973
215	2473	962
216	2484	950
217	2496	938
218	2507	927
219	2518	915
220	2529	904
221	2540	892
222	2551	881
223	2563	869
224	2573	857
225	2584	846
226	2595	834
227	2605	822
228	2616	811
229	2628	799
230	2639	788
231	2649	776
232	2660	765
233	2673	753
234	2684	742
235	2695	730
236	2706	719
237	2718	708
238	2729	696
239	2741	685
240	2752	673
241	2764	662
242	2774	650
243	2786	639
244	2795	627
245	2806	616
246	2817	604
247	2827	592
248	2838	581
249	2849	569
250	2861	558
251	2872	547
252	2883	535
253	2894	524
254	2904	512
255	2916	501
256	2927	489
257	2938	478
258	2949	466
259	2960	455
260	2970	443
261	2981	432
262	2992	421
263	3003	409
264	3014	398
265	3024	386
266	3035	375
267	3046	363
268	3056	352
269	3068	340
270	3077	329
271	3088	317
272	3099	306
273	3110	295
274	3121	283
275	3132	272
276	3142	260
277	3153	249
278	3165	238
279	3175	226
280	3185	215
281	3197	204
282	3208	192
283	3218	181
284	3230	170
285	3240	158
286	3252	147
287	3264	136
288	3274	124
289	3285	113
290	3295	101
291	3306	90
292	3317	79
293	3328	67
294	3339	56
295	3350	45
296	3361	33
297	3373	22
298	3385	11
299	3396	0
