feature,mean_abs_shap
num__usd_goal_real,0.349852013287529
num__category_frequency,0.3170867179128051
num__campaign_duration,0.2897457340622013
num__goal_log,0.19295579141172559
cat__main_category_Music,0.102439606239346
num__launch_month,0.07550330221773806
num__country_success_rate,0.07533217093220416
cat__main_category_Publishing,0.04602200676015214
cat__main_category_Theater,0.04583070239583019
cat__main_category_Fashion,0.04412059150887167
cat__main_category_Technology,0.04045477928513499
cat__launch_weekday_Tuesday,0.03491900099650433
cat__main_category_Comics,0.03225723775374862
cat__launch_weekday_Saturday,0.03222852878901661
cat__main_category_Crafts,0.029331186773149324
cat__main_category_Food,0.024482455213991117
cat__main_category_Games,0.02435865399262944
cat__launch_weekday_Friday,0.022805816480735975
cat__main_category_Film & Video,0.02244903527111688
cat__main_category_Design,0.016046523965364053
cat__main_category_Dance,0.014942982625129666
cat__main_category_Photography,0.011950947319245222
cat__main_category_Journalism,0.011741965854528911
cat__launch_weekday_Monday,0.011049247180228603
cat__main_category_Art,0.00879607548491012
cat__launch_weekday_Wednesday,0.008640477849481269
cat__launch_weekday_Sunday,0.00796787352025014
cat__currency_USD,0.006917035704251689
cat__launch_weekday_Thursday,0.006618938534226075
cat__country_GB,0.005153256253960185
cat__country_IT,0.004132793091697905
cat__currency_GBP,0.0032108407000322964
cat__currency_CAD,0.003076654024842335
cat__country_FR,0.002059431124308238
cat__country_ES,0.0018750845465937379
cat__currency_MXN,0.0015165689815471275
cat__currency_AUD,0.0009869875668813458
cat__currency_CHF,0.0009420156844394806
cat__country_DE,0.0008393168744797766
cat__country_CA,0.0008388374756656184
cat__country_NL,0.000830381345703865
cat__country_IE,0.0006601116168476898
cat__country_BE,0.0006255054320549231
cat__currency_EUR,0.0005790307201953977
cat__country_US,0.0005611743336661314
cat__currency_HKD,0.0005070036995175677
cat__currency_SEK,0.0004891648732120376
cat__country_AU,0.0003757521568926789
cat__currency_SGD,0.00029471081308997345
cat__currency_NZD,0.0002813786810257238
cat__country_DK,0.0002809977808484078
cat__currency_DKK,0.0002802072294995208
cat__country_NO,0.0001424348051602351
cat__country_SE,0.00012867643055332543
cat__currency_NOK,0.00011117699129294415
cat__country_AT,7.651525923102103e-05
"cat__country_N,0""",6.765635148575728e-05
cat__country_LU,2.9147986723603074e-05
cat__currency_JPY,0.0
cat__country_SG,0.0
cat__country_NZ,0.0
cat__country_MX,0.0
cat__country_JP,0.0
num__launch_quarter,0.0
cat__country_HK,0.0
cat__country_CH,0.0
